country	profile	cldr_classification	script_name	implementation_status	note
NFK	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
NFK	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
NGA	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
NGA	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
NGA	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
NIU	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
NIU	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
NIU	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
NRU	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
NRU	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
NRU	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
NZL	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
NZL	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
NZL	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
OMN	ar_Arab	primary	Arabic	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
OMN	ar_Syrc	secondary	Syriac	not-implemented	CLDR secondary may include historical usage; review before implementation
PCN	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
PCN	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
PCN	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
PHL	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
PHL	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
PHL	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
PSE	ar_Arab	primary	Arabic	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
PSE	ar_Syrc	secondary	Syriac	not-implemented	CLDR secondary may include historical usage; review before implementation
PYF	fr_Dupl	secondary	Duployan shorthand	not-implemented	CLDR secondary may include historical usage; review before implementation
PYF	fr_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
QAT	ar_Arab	primary	Arabic	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
QAT	ar_Syrc	secondary	Syriac	not-implemented	CLDR secondary may include historical usage; review before implementation
REU	fr_Dupl	secondary	Duployan shorthand	not-implemented	CLDR secondary may include historical usage; review before implementation
REU	fr_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
ROU	ro_Cyrl	secondary	Cyrillic	not-implemented	CLDR secondary may include historical usage; review before implementation
ROU	ro_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
SAU	ar_Arab	primary	Arabic	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
SAU	ar_Syrc	secondary	Syriac	not-implemented	CLDR secondary may include historical usage; review before implementation
SDN	ar_Arab	primary	Arabic	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
SDN	ar_Syrc	secondary	Syriac	not-implemented	CLDR secondary may include historical usage; review before implementation
SEN	wo_Arab	secondary	Arabic	not-implemented	CLDR secondary may include historical usage; review before implementation
SEN	wo_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
SGP	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
SGP	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
SGP	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
SHN	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
SHN	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
SHN	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
SLB	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
SLB	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
SLB	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
SLE	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
SLE	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
SLE	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
SOM	so_Arab	secondary	Arabic	not-implemented	CLDR secondary may include historical usage; review before implementation
SOM	so_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
SOM	so_Osma	secondary	Osmanya	not-implemented	CLDR secondary may include historical usage; review before implementation
SPM	fr_Dupl	secondary	Duployan shorthand	not-implemented	CLDR secondary may include historical usage; review before implementation
SPM	fr_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
SRB	sr_Cyrl	primary	Cyrillic	source-added-language-review-pending	CLDR secondary may include historical usage; review before implementation
SRB	sr_Latn	primary	Latin	source-added-language-review-pending	CLDR secondary may include historical usage; review before implementation
SSD	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
SSD	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
SSD	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
SWZ	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
SWZ	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
SWZ	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
SXM	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
SXM	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
SXM	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
SYC	fr_Dupl	secondary	Duployan shorthand	not-implemented	CLDR secondary may include historical usage; review before implementation
SYC	fr_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
SYR	ar_Arab	primary	Arabic	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
SYR	ar_Syrc	secondary	Syriac	not-implemented	CLDR secondary may include historical usage; review before implementation
TCA	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
TCA	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
TCA	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
TCD	fr_Dupl	secondary	Duployan shorthand	not-implemented	CLDR secondary may include historical usage; review before implementation
TCD	fr_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
TGO	fr_Dupl	secondary	Duployan shorthand	not-implemented	CLDR secondary may include historical usage; review before implementation
TGO	fr_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
TJK	tg_Arab	primary	Arabic	not-implemented	CLDR secondary may include historical usage; review before implementation
TJK	tg_Cyrl	primary	Cyrillic	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
TJK	tg_Latn	primary	Latin	not-implemented	CLDR secondary may include historical usage; review before implementation
TKL	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
TKL	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
TKL	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
TKM	tk_Arab	primary	Arabic	not-implemented	CLDR secondary may include historical usage; review before implementation
TKM	tk_Cyrl	primary	Cyrillic	not-implemented	CLDR secondary may include historical usage; review before implementation
TKM	tk_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
TTO	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
TTO	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
TTO	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
TUN	ar_Arab	primary	Arabic	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
TUN	ar_Syrc	secondary	Syriac	not-implemented	CLDR secondary may include historical usage; review before implementation
TUR	tr_Arab	secondary	Arabic	not-implemented	CLDR secondary may include historical usage; review before implementation
TUR	tr_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
TWN	zh_Bopo	secondary	Bopomofo	not-implemented	CLDR secondary may include historical usage; review before implementation
TWN	zh_Hans	primary	Simplified	source-added-language-review-pending	CLDR secondary may include historical usage; review before implementation
TWN	zh_Hant	secondary	Traditional	source-added-language-review-pending	CLDR secondary may include historical usage; review before implementation
TWN	zh_Latn	secondary	Latin	not-implemented	CLDR secondary may include historical usage; review before implementation
TWN	zh_Phag	secondary	Phags-pa	not-implemented	CLDR secondary may include historical usage; review before implementation
UMI	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
UMI	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
UMI	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
USA	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
USA	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
USA	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
UZB	uz_Arab	primary	Arabic	not-implemented	CLDR secondary may include historical usage; review before implementation
UZB	uz_Cyrl	primary	Cyrillic	not-implemented	CLDR secondary may include historical usage; review before implementation
UZB	uz_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
VCT	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
VCT	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
VCT	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
VGB	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
VGB	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
VGB	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
VIR	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
VIR	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
VIR	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
VNM	vi_Hani	secondary	Han	not-implemented	CLDR secondary may include historical usage; review before implementation
VNM	vi_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
WLF	fr_Dupl	secondary	Duployan shorthand	not-implemented	CLDR secondary may include historical usage; review before implementation
WLF	fr_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
YEM	ar_Arab	primary	Arabic	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
YEM	ar_Syrc	secondary	Syriac	not-implemented	CLDR secondary may include historical usage; review before implementation
ZAF	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
ZAF	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
ZAF	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
ZMB	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
ZMB	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
ZMB	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
