language	concept	project_proposal
sv	page_directory	sidkatalog
sv	page_frame	fysisk sida
sv	pointer	adressreferens
sv	prepend	lägg till först i listan
sv	register	register
sv	set_coordinates	ange lokala koordinater
sv	source_port	källportnummer
sv	stack	stackminne
sv	startup	start
sv	structure_offsets	strukturförskjutningar
sv	system_call	systemanrop
sv	tests	tester
sv	toggle_bit	invertera tilldelningsbit
sv	tools	verktyg
sv	udp	användardatagramprotokoll
sv	udp_header	huvud för användardatagram
sv	udp_socket	slutpunkt för användardatagram
sv	user_space	användarutrymme
sv	widget	skärmelement
tr	allocate_memory	bellek ayır
tr	append	listenin sonuna ekle
tr	bitmap	ayırma bit eşlemi
tr	boot	makine başlatma
tr	boot_record	ana önyükleme kaydı
tr	bus	ortak aktarım yolu
tr	compile_kernel	çekirdek derle
tr	destination_port	hedef kapı numarası
tr	elf	çalıştırılabilir ve bağlanabilir biçim
tr	error_number	hata numarası
tr	ethernet_frame	ortak ortam ağ çerçevesi
tr	ethernet_header	ortak ortam ağ çerçevesi başlığı
tr	ethernet_provider	ortak ortam ağ çerçevesi sağlayıcısı
tr	fat_parameters	dosya sistemi parametreleri
tr	file_control	dosya denetimi
tr	file_read	dosya oku
tr	file_status	dosya durumu
tr	file_write	dosya yaz
tr	free_memory	belleği serbest bırak
tr	headers	bildirimler
tr	heap	dinamik bellek
tr	icmp	ağlar arası ağ denetim iletisi protokolü
tr	implementation	gerçekleme
tr	insert_at	dizine göre araya ekle
tr	internet	ağlar arası ağ
tr	ip_provider	ağlar arası ağ protokolü sağlayıcısı
tr	ipv4	ağlar arası ağ protokolü 4
tr	link_layout	bağlama düzeni
tr	list_node	liste düğümü
tr	log_decoder	seri kaydı çözümle
tr	mouse	işaretleme aygıtı
tr	page_directory	sayfa dizini
tr	page_frame	fiziksel sayfa
tr	pointer	adres başvurusu
tr	prepend	listenin başına ekle
tr	register	yazmaç
tr	set_coordinates	yerel koordinatları ayarla
tr	source_port	kaynak kapı numarası
tr	stack	yığın belleği
tr	startup	başlatma
tr	structure_offsets	yapı uzaklıkları
tr	system_call	sistem çağrısı
tr	tests	sınamalar
tr	toggle_bit	ayırma bitini tersle
tr	tools	araçlar
tr	udp	kullanıcı veri birimi protokolü
tr	udp_header	kullanıcı veri birimi başlığı
tr	udp_socket	kullanıcı veri birimi iletişim uç noktası
tr	user_space	kullanıcı alanı
tr	widget	ekran öğesi
uk	allocate_memory	виділити памʼять
uk	append	додати в кінець списку
uk	bitmap	карта зайнятості
uk	boot	запуск машини
uk	boot_record	головний завантажувальний запис
uk	bus	спільна шина передавання
uk	compile_kernel	зібрати ядро
uk	destination_port	номер порту одержувача
uk	elf	виконуваний і компонований формат
uk	error_number	номер помилки
uk	ethernet_frame	кадр мережі зі спільним середовищем
uk	ethernet_header	заголовок кадру мережі зі спільним середовищем
uk	ethernet_provider	постачальник кадрів мережі зі спільним середовищем
uk	fat_parameters	параметри файлової системи
uk	file_control	керування файлом
uk	file_read	прочитати файл
uk	file_status	стан файла
uk	file_write	записати файл
uk	free_memory	звільнити памʼять
uk	headers	оголошення
uk	heap	динамічна памʼять
uk	icmp	протокол керувальних повідомлень обʼєднаної мережі
uk	implementation	реалізація
uk	insert_at	вставити за індексом
uk	internet	обʼєднана мережа
uk	ip_provider	постачальник протоколу обʼєднаної мережі
uk	ipv4	протокол обʼєднаної мережі 4
uk	link_layout	схема компонування
uk	list_node	вузол списку
uk	log_decoder	розібрати послідовний журнал
uk	mouse	вказівний пристрій
uk	page_directory	каталог сторінок
uk	page_frame	фізична сторінка
uk	pointer	посилання на адресу
uk	prepend	додати на початок списку
uk	register	регістр
uk	set_coordinates	задати локальні координати
uk	source_port	номер порту відправника
uk	stack	стекова памʼять
uk	startup	запуск
uk	structure_offsets	зсуви структури
uk	system_call	системний виклик
uk	tests	випробування
uk	toggle_bit	інвертувати біт зайнятості
uk	tools	інструменти
uk	udp	протокол користувацьких датаграм
uk	udp_header	заголовок користувацької датаграми
uk	udp_socket	кінцева точка користувацьких датаграм
uk	user_space	простір користувача
uk	widget	елемент екрана
vi	allocate_memory	cấp phát bộ nhớ
vi	append	thêm vào cuối danh sách
vi	bitmap	bản đồ cấp phát
vi	boot	khởi động máy
vi	boot_record	bản ghi khởi động chính
vi	bus	đường truyền dùng chung
vi	compile_kernel	biên dịch nhân
vi	destination_port	số cổng đích
vi	elf	định dạng thực thi và liên kết
vi	error_number	mã lỗi
vi	ethernet_frame	khung mạng dùng chung môi trường truyền
vi	ethernet_header	đầu khung mạng dùng chung môi trường truyền
vi	ethernet_provider	bộ cung cấp khung mạng dùng chung môi trường truyền
vi	fat_parameters	tham số hệ thống tệp
vi	file_control	điều khiển tệp
vi	file_read	đọc tệp
vi	file_status	trạng thái tệp
vi	file_write	ghi tệp
vi	free_memory	giải phóng bộ nhớ
vi	headers	khai báo
vi	heap	bộ nhớ động
vi	icmp	giao thức thông điệp điều khiển mạng liên kết
vi	implementation	triển khai
vi	insert_at	chèn tại chỉ số
vi	internet	mạng liên kết
vi	ip_provider	bộ cung cấp giao thức mạng liên kết
vi	ipv4	giao thức mạng liên kết 4
vi	link_layout	bố trí liên kết
vi	list_node	nút danh sách
vi	log_decoder	giải mã nhật ký nối tiếp
vi	mouse	thiết bị trỏ
vi	page_directory	thư mục trang
vi	page_frame	trang vật lý
vi	pointer	tham chiếu địa chỉ
vi	prepend	thêm vào đầu danh sách
vi	register	thanh ghi
vi	set_coordinates	đặt tọa độ cục bộ
vi	source_port	số cổng nguồn
vi	stack	bộ nhớ ngăn xếp
vi	startup	khởi động
vi	structure_offsets	độ lệch cấu trúc
vi	system_call	lời gọi hệ thống
vi	tests	kiểm thử
vi	toggle_bit	đảo bit cấp phát
vi	tools	công cụ
vi	udp	giao thức gói tin người dùng
vi	udp_header	đầu gói tin người dùng
vi	udp_socket	điểm cuối gói tin người dùng
vi	user_space	không gian người dùng
vi	widget	thành phần màn hình
zh_Hans	allocate_memory	分配内存
zh_Hans	append	追加到表尾
zh_Hans	bitmap	分配位图
zh_Hans	boot	机器启动
zh_Hans	boot_record	主引导记录
zh_Hans	bus	共享传输总线
zh_Hans	compile_kernel	编译内核
zh_Hans	destination_port	目标端口号
zh_Hans	elf	可执行与可链接格式
zh_Hans	error_number	错误编号
zh_Hans	ethernet_frame	共享介质网络帧
zh_Hans	ethernet_header	共享介质网络帧头
zh_Hans	ethernet_provider	共享介质网络帧提供器
zh_Hans	fat_parameters	文件系统参数
zh_Hans	file_control	文件控制
zh_Hans	file_read	读取文件
zh_Hans	file_status	文件状态
zh_Hans	file_write	写入文件
zh_Hans	free_memory	释放内存
zh_Hans	headers	头文件
zh_Hans	heap	动态存储区
zh_Hans	icmp	互联网络控制报文协议
zh_Hans	implementation	实现
zh_Hans	insert_at	在指定位置插入
zh_Hans	internet	互联网络
zh_Hans	ip_provider	互联网络协议提供器
zh_Hans	ipv4	互联网络协议4
zh_Hans	link_layout	链接布局
zh_Hans	list_node	链表节点
zh_Hans	log_decoder	解析串行日志
zh_Hans	mouse	指向设备
zh_Hans	page_directory	页目录
zh_Hans	page_frame	物理页
zh_Hans	pointer	地址引用
zh_Hans	prepend	添加到表头
zh_Hans	register	寄存器
zh_Hans	set_coordinates	设置局部坐标
zh_Hans	source_port	源端口号
zh_Hans	stack	栈存储区
zh_Hans	startup	启动
zh_Hans	structure_offsets	结构偏移
zh_Hans	system_call	系统调用
zh_Hans	tests	测试
zh_Hans	toggle_bit	反转分配位
zh_Hans	tools	工具
zh_Hans	udp	用户数据报协议
zh_Hans	udp_header	用户数据报头
zh_Hans	udp_socket	用户数据报通信端点
zh_Hans	user_space	用户空间
zh_Hans	widget	界面元素
zh_Hant	allocate_memory	配置記憶體
zh_Hant	append	附加至串列尾端
zh_Hant	bitmap	配置位元圖
zh_Hant	boot	機器啟動
zh_Hant	boot_record	主開機紀錄
zh_Hant	bus	共用傳輸匯流排
zh_Hant	compile_kernel	編譯核心
zh_Hant	destination_port	目的通訊埠號
zh_Hant	elf	可執行與可連結格式
zh_Hant	error_number	錯誤編號
zh_Hant	ethernet_frame	共享媒介網路框
zh_Hant	ethernet_header	共享媒介網路框標頭
zh_Hant	ethernet_provider	共享媒介網路框提供器
zh_Hant	fat_parameters	檔案系統參數
zh_Hant	file_control	檔案控制
zh_Hant	file_read	讀取檔案
zh_Hant	file_status	檔案狀態
zh_Hant	file_write	寫入檔案
zh_Hant	free_memory	釋放記憶體
zh_Hant	headers	標頭檔
zh_Hant	heap	動態記憶區
zh_Hant	icmp	互聯網路控制訊息協定
zh_Hant	implementation	實作
zh_Hant	insert_at	在指定位置插入
zh_Hant	internet	互聯網路
zh_Hant	ip_provider	互聯網路協定提供器
zh_Hant	ipv4	互聯網路協定4
zh_Hant	link_layout	連結配置
zh_Hant	list_node	鏈結串列節點
zh_Hant	log_decoder	解析序列紀錄
zh_Hant	mouse	指向裝置
zh_Hant	page_directory	頁目錄
zh_Hant	page_frame	實體頁
zh_Hant	pointer	位址參照
zh_Hant	prepend	加入至串列開頭
zh_Hant	register	暫存器
zh_Hant	set_coordinates	設定局部座標
zh_Hant	source_port	來源通訊埠號
zh_Hant	stack	堆疊記憶區
zh_Hant	startup	啟動
zh_Hant	structure_offsets	結構位移
zh_Hant	system_call	系統呼叫
zh_Hant	tests	測試
zh_Hant	toggle_bit	反轉配置位元
zh_Hant	tools	工具
zh_Hant	udp	使用者資料報協定
zh_Hant	udp_header	使用者資料報標頭
zh_Hant	udp_socket	使用者資料報通訊端點
zh_Hant	user_space	使用者空間
zh_Hant	widget	介面元素
