kind	original	reason
identifier	QUEUE_START_ADDR	existing spelling retained; current-function and linguistic review incomplete
identifier	Rdev	existing spelling retained; current-function and linguistic review incomplete
identifier	Read	existing spelling retained; current-function and linguistic review incomplete
identifier	Read28	existing spelling retained; current-function and linguistic review incomplete
identifier	ReadFile	existing spelling retained; current-function and linguistic review incomplete
identifier	ReadPartitions	existing spelling retained; current-function and linguistic review incomplete
identifier	Ready	existing spelling retained; current-function and linguistic review incomplete
identifier	Receive	existing spelling retained; current-function and linguistic review incomplete
identifier	Ref	existing spelling retained; current-function and linguistic review incomplete
identifier	Release	existing spelling retained; current-function and linguistic review incomplete
identifier	ReloadCR3	existing spelling retained; current-function and linguistic review incomplete
identifier	Remove	existing spelling retained; current-function and linguistic review incomplete
identifier	RemoveAt	existing spelling retained; current-function and linguistic review incomplete
identifier	RemoveThread	existing spelling retained; current-function and linguistic review incomplete
identifier	RemoveThreadAt	existing spelling retained; current-function and linguistic review incomplete
identifier	RequestMacAddress	existing spelling retained; current-function and linguistic review incomplete
identifier	Reset	existing spelling retained; current-function and linguistic review incomplete
identifier	Resolve	existing spelling retained; current-function and linguistic review incomplete
identifier	ResolveCopyOnWriteFault	existing spelling retained; current-function and linguistic review incomplete
identifier	SCHEDULER_FREQUENCY	existing spelling retained; current-function and linguistic review incomplete
identifier	SEG_BIG_MODE	existing spelling retained; current-function and linguistic review incomplete
identifier	SEG_EXEC	existing spelling retained; current-function and linguistic review incomplete
identifier	SEG_GRAN_4K_PAGE	existing spelling retained; current-function and linguistic review incomplete
identifier	SEG_GRAN_BYTE	existing spelling retained; current-function and linguistic review incomplete
identifier	SEG_KERNEL_CODE	existing spelling retained; current-function and linguistic review incomplete
identifier	SEG_KERNEL_DATA	existing spelling retained; current-function and linguistic review incomplete
identifier	SEG_KERNEL_GS	existing spelling retained; current-function and linguistic review incomplete
identifier	SEG_NOEXEC	existing spelling retained; current-function and linguistic review incomplete
identifier	SEG_NORMAL	existing spelling retained; current-function and linguistic review incomplete
identifier	SEG_NORW	existing spelling retained; current-function and linguistic review incomplete
identifier	SEG_R	existing spelling retained; current-function and linguistic review incomplete
identifier	SEG_SYSTEM	existing spelling retained; current-function and linguistic review incomplete
identifier	SEG_TASK_STATE	existing spelling retained; current-function and linguistic review incomplete
identifier	SEG_USER_CODE	existing spelling retained; current-function and linguistic review incomplete
identifier	SEG_USER_DATA	existing spelling retained; current-function and linguistic review incomplete
identifier	SEG_USER_GS	existing spelling retained; current-function and linguistic review incomplete
identifier	SEG_W	existing spelling retained; current-function and linguistic review incomplete
identifier	SIMDFloatingPointException	existing spelling retained; current-function and linguistic review incomplete
identifier	SIZE	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_ACCESS	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_BRK	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_CHDIR	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_CLOSE	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_CREAT	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_DUP	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_DUP2	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_EXECVE	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_EXIT	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_FCNTL	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_FORK	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_FSTAT	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_FSYNC	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_GETCWD	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_GETEGID	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_GETEUID	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_GETGID	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_GETPID	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_GETPPID	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_GETUID	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_LSEEK	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_LSTAT	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_OPEN	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_READ	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_RT_EXIT	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_SOCKETCALL	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_STAT	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_SYNC	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_UNAME	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_WAITPID	existing spelling retained; current-function and linguistic review incomplete
identifier	SYS_WRITE	existing spelling retained; current-function and linguistic review incomplete
identifier	Schedule	existing spelling retained; current-function and linguistic review incomplete
identifier	Scheduler	existing spelling retained; current-function and linguistic review incomplete
identifier	SchedulerData	existing spelling retained; current-function and linguistic review incomplete
identifier	SegmentNotPresent	existing spelling retained; current-function and linguistic review incomplete
identifier	SelectDrivers	existing spelling retained; current-function and linguistic review incomplete
identifier	Send	existing spelling retained; current-function and linguistic review incomplete
identifier	SendEchoRequest	existing spelling retained; current-function and linguistic review incomplete
identifier	SendFrame	existing spelling retained; current-function and linguistic review incomplete
identifier	SerialInit	existing spelling retained; current-function and linguistic review incomplete
identifier	SerialWriteByte	existing spelling retained; current-function and linguistic review incomplete
identifier	SetBackend	existing spelling retained; current-function and linguistic review incomplete
identifier	SetBit	existing spelling retained; current-function and linguistic review incomplete
identifier	SetBlockInPageDir	existing spelling retained; current-function and linguistic review incomplete
identifier	SetBuffer	existing spelling retained; current-function and linguistic review incomplete
identifier	SetByteAtAddr	existing spelling retained; current-function and linguistic review incomplete
identifier	SetByteInPageDir	existing spelling retained; current-function and linguistic review incomplete
identifier	SetCR3	existing spelling retained; current-function and linguistic review incomplete
identifier	SetColor	existing spelling retained; current-function and linguistic review incomplete
identifier	SetDescriptor	existing spelling retained; current-function and linguistic review incomplete
identifier	SetHandleInterruptFuction	existing spelling retained; current-function and linguistic review incomplete
identifier	SetHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	SetIPAddress	existing spelling retained; current-function and linguistic review incomplete
identifier	SetInterruptDescriptorTableEntry	existing spelling retained; current-function and linguistic review incomplete
identifier	SetInterruptManager	existing spelling retained; current-function and linguistic review incomplete
identifier	SetInterruptNumber	existing spelling retained; current-function and linguistic review incomplete
identifier	SetMode	existing spelling retained; current-function and linguistic review incomplete
identifier	SetNodeAt	existing spelling retained; current-function and linguistic review incomplete
identifier	SetStack	existing spelling retained; current-function and linguistic review incomplete
identifier	SetTlsSegment	existing spelling retained; current-function and linguistic review incomplete
identifier	SetUint32AtAddr	existing spelling retained; current-function and linguistic review incomplete
identifier	SetUint32InPageDir	existing spelling retained; current-function and linguistic review incomplete
identifier	SetUint8AtAddr	existing spelling retained; current-function and linguistic review incomplete
identifier	SharedMemoryRegion	existing spelling retained; current-function and linguistic review incomplete
identifier	Size	existing spelling retained; current-function and linguistic review incomplete
identifier	Spawn	existing spelling retained; current-function and linguistic review incomplete
identifier	Ss	existing spelling retained; current-function and linguistic review incomplete
identifier	Stack	existing spelling retained; current-function and linguistic review incomplete
identifier	StackSegmentFault	existing spelling retained; current-function and linguistic review incomplete
identifier	Start_lba	existing spelling retained; current-function and linguistic review incomplete
identifier	Started	existing spelling retained; current-function and linguistic review incomplete
identifier	StdinPutByte	existing spelling retained; current-function and linguistic review incomplete
identifier	StopCurrentThread	existing spelling retained; current-function and linguistic review incomplete
identifier	Stopped	existing spelling retained; current-function and linguistic review incomplete
identifier	SubnetMask	existing spelling retained; current-function and linguistic review incomplete
identifier	SupportMode	existing spelling retained; current-function and linguistic review incomplete
identifier	Sys_brk	existing spelling retained; current-function and linguistic review incomplete
identifier	Sys_close	existing spelling retained; current-function and linguistic review incomplete
identifier	Sys_exit	existing spelling retained; current-function and linguistic review incomplete
identifier	Sys_getpid	existing spelling retained; current-function and linguistic review incomplete
identifier	Sys_mousemove	existing spelling retained; current-function and linguistic review incomplete
identifier	Sys_open	existing spelling retained; current-function and linguistic review incomplete
identifier	Sys_printStr	existing spelling retained; current-function and linguistic review incomplete
identifier	Sys_printUint32	existing spelling retained; current-function and linguistic review incomplete
identifier	Sys_printf	existing spelling retained; current-function and linguistic review incomplete
identifier	Sys_read	existing spelling retained; current-function and linguistic review incomplete
identifier	Syscall	existing spelling retained; current-function and linguistic review incomplete
identifier	Sysname	existing spelling retained; current-function and linguistic review incomplete
identifier	TARPEtherFrameHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	TARPMessage	existing spelling retained; current-function and linguistic review incomplete
identifier	TARPMessageBuffer	existing spelling retained; current-function and linguistic review incomplete
identifier	TARPProvider	existing spelling retained; current-function and linguistic review incomplete
identifier	TAdvancedTechnologyAttachment	existing spelling retained; current-function and linguistic review incomplete
identifier	TArray	existing spelling retained; current-function and linguistic review incomplete
identifier	TBaseAddressRegister	existing spelling retained; current-function and linguistic review incomplete
identifier	TBiosParameterBlock32	existing spelling retained; current-function and linguistic review incomplete
identifier	TBufferDescriptor	existing spelling retained; current-function and linguistic review incomplete
identifier	TCOWFrameManager	existing spelling retained; current-function and linguistic review incomplete
identifier	TCPUState	existing spelling retained; current-function and linguistic review incomplete
identifier	TDefaultKeyboardEventHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	TDefaultMouseEventHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	TDefaultPCIControllerHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	TDefaultTimerEventHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	TDirectoryEntryFat32	existing spelling retained; current-function and linguistic review incomplete
identifier	TDriverManager	existing spelling retained; current-function and linguistic review incomplete
identifier	TEtherFrameHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	TEtherFrameHeader	existing spelling retained; current-function and linguistic review incomplete
identifier	TEtherFrameHeaderBuffer	existing spelling retained; current-function and linguistic review incomplete
identifier	TEtherFrameProvider	existing spelling retained; current-function and linguistic review incomplete
identifier	TEtherFrameRawDataHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	TGateDescriptor	existing spelling retained; current-function and linguistic review incomplete
identifier	THREAD_STACK_SIZE	existing spelling retained; current-function and linguistic review incomplete
identifier	TICMPHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	TIPEtherFrameHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	TInitializationBlock	existing spelling retained; current-function and linguistic review incomplete
identifier	TInternetControlMessageProtocol	existing spelling retained; current-function and linguistic review incomplete
identifier	TInternetControlMessageProtocolMessage	existing spelling retained; current-function and linguistic review incomplete
identifier	TInternetControlMessageProtocolMessageBuffer	existing spelling retained; current-function and linguistic review incomplete
identifier	TInternetProtocolHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	TInternetProtocolProvider	existing spelling retained; current-function and linguistic review incomplete
identifier	TInternetProtocolV4Message	existing spelling retained; current-function and linguistic review incomplete
identifier	TInternetProtocolV4MessageBuffer	existing spelling retained; current-function and linguistic review incomplete
identifier	TInterruptDescriptorTablePointer	existing spelling retained; current-function and linguistic review incomplete
identifier	TInterruptHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	TInterruptManager	existing spelling retained; current-function and linguistic review incomplete
identifier	TKeyboardDriver	existing spelling retained; current-function and linguistic review incomplete
identifier	TLS_START	existing spelling retained; current-function and linguistic review incomplete
identifier	TMSDOSPartitionTable	existing spelling retained; current-function and linguistic review incomplete
identifier	TMasterBootRecord	existing spelling retained; current-function and linguistic review incomplete
identifier	TMemoryChunk	existing spelling retained; current-function and linguistic review incomplete
identifier	TMemoryManager	existing spelling retained; current-function and linguistic review incomplete
identifier	TMouseDriver	existing spelling retained; current-function and linguistic review incomplete
identifier	TMyKeyboardEventHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	TMyMouseEventHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	TMyPCIControllerHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	TPartitionTableEntry	existing spelling retained; current-function and linguistic review incomplete
identifier	TPeripheralComponentInterconnectController	existing spelling retained; current-function and linguistic review incomplete
identifier	TPeripheralComponentInterconnectDeviceDescriptor	existing spelling retained; current-function and linguistic review incomplete
identifier	TPort	existing spelling retained; current-function and linguistic review incomplete
identifier	TPort16Bit	existing spelling retained; current-function and linguistic review incomplete
identifier	TPort32Bit	existing spelling retained; current-function and linguistic review incomplete
identifier	TPort8Bit	existing spelling retained; current-function and linguistic review incomplete
identifier	TRawDataHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	TSSEntry	existing spelling retained; current-function and linguistic review incomplete
identifier	TSyscall	existing spelling retained; current-function and linguistic review incomplete
identifier	TTask	existing spelling retained; current-function and linguistic review incomplete
identifier	TThread	existing spelling retained; current-function and linguistic review incomplete
identifier	TThreadHelper	existing spelling retained; current-function and linguistic review incomplete
identifier	TTimerDriver	existing spelling retained; current-function and linguistic review incomplete
identifier	TUserDatagramProtocolHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	TUserDatagramProtocolHeader	existing spelling retained; current-function and linguistic review incomplete
identifier	TUserDatagramProtocolHeaderBuffer	existing spelling retained; current-function and linguistic review incomplete
identifier	TUserDatagramProtocolProvider	existing spelling retained; current-function and linguistic review incomplete
identifier	TUserDatagramProtocolSocket	existing spelling retained; current-function and linguistic review incomplete
identifier	TVideoGraphicsArray	existing spelling retained; current-function and linguistic review incomplete
identifier	TWidget	existing spelling retained; current-function and linguistic review incomplete
identifier	TWidgetMouseEventHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	Tamd_am79c973	existing spelling retained; current-function and linguistic review incomplete
identifier	Test	existing spelling retained; current-function and linguistic review incomplete
identifier	TestBit	existing spelling retained; current-function and linguistic review incomplete
identifier	TestPrint	existing spelling retained; current-function and linguistic review incomplete
identifier	Thread	existing spelling retained; current-function and linguistic review incomplete
identifier	ThreadList	existing spelling retained; current-function and linguistic review incomplete
identifier	ThreadState	existing spelling retained; current-function and linguistic review incomplete
identifier	Threads	existing spelling retained; current-function and linguistic review incomplete
identifier	TlsSegments	existing spelling retained; current-function and linguistic review incomplete
identifier	TotalBlocks	existing spelling retained; current-function and linguistic review incomplete
identifier	Type	existing spelling retained; current-function and linguistic review incomplete
identifier	TypeTest	existing spelling retained; current-function and linguistic review incomplete
identifier	T공용서술자테이블	existing spelling retained; current-function and linguistic review incomplete
identifier	T공용서술자테이블_자료	existing spelling retained; current-function and linguistic review incomplete
identifier	T작업관리자	existing spelling retained; current-function and linguistic review incomplete
identifier	T조각설명자	existing spelling retained; current-function and linguistic review incomplete
identifier	T콘솔	existing spelling retained; current-function and linguistic review incomplete
identifier	T함수1	existing spelling retained; current-function and linguistic review incomplete
identifier	UDESC_32SEG	existing spelling retained; current-function and linguistic review incomplete
identifier	UDESC_CONTENTS	existing spelling retained; current-function and linguistic review incomplete
identifier	UDESC_LIMIT_IN_PAGES	existing spelling retained; current-function and linguistic review incomplete
identifier	UDESC_RX_ONLY	existing spelling retained; current-function and linguistic review incomplete
identifier	UDESC_SEG_NOT_PRESENT	existing spelling retained; current-function and linguistic review incomplete
identifier	UDESC_USABLE	existing spelling retained; current-function and linguistic review incomplete
identifier	USER_STACK	existing spelling retained; current-function and linguistic review incomplete
identifier	USER_STACK_SIZE	existing spelling retained; current-function and linguistic review incomplete
identifier	USER_STACK_TOP	existing spelling retained; current-function and linguistic review incomplete
identifier	Uid	existing spelling retained; current-function and linguistic review incomplete
identifier	Uint16ToArray	existing spelling retained; current-function and linguistic review incomplete
identifier	Uint16ToArray_BE	existing spelling retained; current-function and linguistic review incomplete
identifier	Uint16_R	existing spelling retained; current-function and linguistic review incomplete
identifier	Uint32ToArray	existing spelling retained; current-function and linguistic review incomplete
identifier	Uint32_R	existing spelling retained; current-function and linguistic review incomplete
identifier	Uint48ToArray	existing spelling retained; current-function and linguistic review incomplete
identifier	Uint48ToArray_BE	existing spelling retained; current-function and linguistic review incomplete
identifier	Uint48_R	existing spelling retained; current-function and linguistic review incomplete
identifier	Uint64ToArray	existing spelling retained; current-function and linguistic review incomplete
identifier	Uint64_R	existing spelling retained; current-function and linguistic review incomplete
identifier	UnhandleInterrupt	existing spelling retained; current-function and linguistic review incomplete
identifier	UnsetBit	existing spelling retained; current-function and linguistic review incomplete
identifier	UsedBlocks	existing spelling retained; current-function and linguistic review incomplete
identifier	UserDesc	existing spelling retained; current-function and linguistic review incomplete
identifier	UserStack	existing spelling retained; current-function and linguistic review incomplete
identifier	UserStackSize	existing spelling retained; current-function and linguistic review incomplete
identifier	Vendor_id	existing spelling retained; current-function and linguistic review incomplete
identifier	Version	existing spelling retained; current-function and linguistic review incomplete
identifier	VirtTest	existing spelling retained; current-function and linguistic review incomplete
identifier	Write	existing spelling retained; current-function and linguistic review incomplete
identifier	Write28	existing spelling retained; current-function and linguistic review incomplete
identifier	WriteRegisters	existing spelling retained; current-function and linguistic review incomplete
identifier	X	existing spelling retained; current-function and linguistic review incomplete
identifier	Y	existing spelling retained; current-function and linguistic review incomplete
identifier	Zero	existing spelling retained; current-function and linguistic review incomplete
identifier	ZeroBlockInPageDir	existing spelling retained; current-function and linguistic review incomplete
identifier	a	existing spelling retained; current-function and linguistic review incomplete
identifier	aTime	existing spelling retained; current-function and linguistic review incomplete
identifier	access	existing spelling retained; current-function and linguistic review incomplete
identifier	accessMode	existing spelling retained; current-function and linguistic review incomplete
identifier	ack	existing spelling retained; current-function and linguistic review incomplete
identifier	activeKeyboardDriver	existing spelling retained; current-function and linguistic review incomplete
identifier	activeMouseDriver	existing spelling retained; current-function and linguistic review incomplete
identifier	addr	existing spelling retained; current-function and linguistic review incomplete
identifier	addrPtr	existing spelling retained; current-function and linguistic review incomplete
identifier	address	existing spelling retained; current-function and linguistic review incomplete
identifier	addressError	existing spelling retained; current-function and linguistic review incomplete
identifier	afInet	existing spelling retained; current-function and linguistic review incomplete
identifier	allocFD	existing spelling retained; current-function and linguistic review incomplete
identifier	allocOpenFile	existing spelling retained; current-function and linguistic review incomplete
identifier	allocProcess	existing spelling retained; current-function and linguistic review incomplete
identifier	allocateSocket	existing spelling retained; current-function and linguistic review incomplete
identifier	allocated	existing spelling retained; current-function and linguistic review incomplete
identifier	amd_am79c973	existing spelling retained; current-function and linguistic review incomplete
identifier	args	existing spelling retained; current-function and linguistic review incomplete
identifier	argument	existing spelling retained; current-function and linguistic review incomplete
identifier	argumentPointers	existing spelling retained; current-function and linguistic review incomplete
identifier	arguments	existing spelling retained; current-function and linguistic review incomplete
identifier	arp	existing spelling retained; current-function and linguistic review incomplete
identifier	arpBuffer	existing spelling retained; current-function and linguistic review incomplete
identifier	arpMesgSize	existing spelling retained; current-function and linguistic review incomplete
identifier	arpProvider	existing spelling retained; current-function and linguistic review incomplete
identifier	arp콘솔	existing spelling retained; current-function and linguistic review incomplete
identifier	array	existing spelling retained; current-function and linguistic review incomplete
identifier	ata	existing spelling retained; current-function and linguistic review incomplete
identifier	ata0s	existing spelling retained; current-function and linguistic review incomplete
identifier	attempts	existing spelling retained; current-function and linguistic review incomplete
identifier	attr	existing spelling retained; current-function and linguistic review incomplete
identifier	attributeControllerIndexPort	existing spelling retained; current-function and linguistic review incomplete
identifier	attributeControllerReadPort	existing spelling retained; current-function and linguistic review incomplete
identifier	attributeControllerResetPort	existing spelling retained; current-function and linguistic review incomplete
identifier	attributeControllerWritePort	existing spelling retained; current-function and linguistic review incomplete
identifier	attributes	existing spelling retained; current-function and linguistic review incomplete
identifier	aux	existing spelling retained; current-function and linguistic review incomplete
identifier	avail	existing spelling retained; current-function and linguistic review incomplete
identifier	b	existing spelling retained; current-function and linguistic review incomplete
identifier	backend	existing spelling retained; current-function and linguistic review incomplete
identifier	backupFpRegs	existing spelling retained; current-function and linguistic review incomplete
identifier	backupSector	existing spelling retained; current-function and linguistic review incomplete
identifier	bar	existing spelling retained; current-function and linguistic review incomplete
identifier	barNum	existing spelling retained; current-function and linguistic review incomplete
identifier	bar_value	existing spelling retained; current-function and linguistic review incomplete
identifier	base	existing spelling retained; current-function and linguistic review incomplete
identifier	baseCode	existing spelling retained; current-function and linguistic review incomplete
identifier	baseHigh	existing spelling retained; current-function and linguistic review incomplete
identifier	baseLow	existing spelling retained; current-function and linguistic review incomplete
identifier	baseMid	existing spelling retained; current-function and linguistic review incomplete
identifier	base_addr_high	existing spelling retained; current-function and linguistic review incomplete
identifier	base_addr_low	existing spelling retained; current-function and linguistic review incomplete
identifier	bh	existing spelling retained; current-function and linguistic review incomplete
identifier	bindEphemeral	existing spelling retained; current-function and linguistic review incomplete
identifier	bindError	existing spelling retained; current-function and linguistic review incomplete
identifier	bios	existing spelling retained; current-function and linguistic review incomplete
identifier	bit	existing spelling retained; current-function and linguistic review incomplete
identifier	bitmap	existing spelling retained; current-function and linguistic review incomplete
identifier	bootSignature	existing spelling retained; current-function and linguistic review incomplete
identifier	bootable	existing spelling retained; current-function and linguistic review incomplete
identifier	bootloader	existing spelling retained; current-function and linguistic review incomplete
identifier	bound	existing spelling retained; current-function and linguistic review incomplete
identifier	bpb	existing spelling retained; current-function and linguistic review incomplete
identifier	bpbBytes	existing spelling retained; current-function and linguistic review incomplete
identifier	bpbPtr	existing spelling retained; current-function and linguistic review incomplete
identifier	buf	existing spelling retained; current-function and linguistic review incomplete
identifier	buf1	existing spelling retained; current-function and linguistic review incomplete
identifier	buf2	existing spelling retained; current-function and linguistic review incomplete
identifier	buf3	existing spelling retained; current-function and linguistic review incomplete
identifier	buf4	existing spelling retained; current-function and linguistic review incomplete
identifier	buf6	existing spelling retained; current-function and linguistic review incomplete
identifier	buffer	existing spelling retained; current-function and linguistic review incomplete
identifier	buffer1	existing spelling retained; current-function and linguistic review incomplete
identifier	buffer2	existing spelling retained; current-function and linguistic review incomplete
identifier	bufferAddr	existing spelling retained; current-function and linguistic review incomplete
identifier	bufferAddress	existing spelling retained; current-function and linguistic review incomplete
identifier	bufptr	existing spelling retained; current-function and linguistic review incomplete
identifier	bus	existing spelling retained; current-function and linguistic review incomplete
identifier	busControlRegisterDataPort	existing spelling retained; current-function and linguistic review incomplete
identifier	button	existing spelling retained; current-function and linguistic review incomplete
identifier	buttons	existing spelling retained; current-function and linguistic review incomplete
identifier	bytesPerSector	existing spelling retained; current-function and linguistic review incomplete
identifier	c	existing spelling retained; current-function and linguistic review incomplete
identifier	cDate	existing spelling retained; current-function and linguistic review incomplete
identifier	cTime	existing spelling retained; current-function and linguistic review incomplete
identifier	cTimeTenth	existing spelling retained; current-function and linguistic review incomplete
identifier	call	existing spelling retained; current-function and linguistic review incomplete
identifier	candidate	existing spelling retained; current-function and linguistic review incomplete
identifier	cap	existing spelling retained; current-function and linguistic review incomplete
identifier	char	existing spelling retained; current-function and linguistic review incomplete
identifier	checked	existing spelling retained; current-function and linguistic review incomplete
identifier	checksum	existing spelling retained; current-function and linguistic review incomplete
identifier	child	existing spelling retained; current-function and linguistic review incomplete
identifier	childPID	existing spelling retained; current-function and linguistic review incomplete
identifier	childPageDir	existing spelling retained; current-function and linguistic review incomplete
identifier	chunk	existing spelling retained; current-function and linguistic review incomplete
identifier	class_id	existing spelling retained; current-function and linguistic review incomplete
identifier	closeAllProcessFDs	existing spelling retained; current-function and linguistic review incomplete
identifier	closeOnExec	existing spelling retained; current-function and linguistic review incomplete
identifier	closeProcessFD	existing spelling retained; current-function and linguistic review incomplete
identifier	code	existing spelling retained; current-function and linguistic review incomplete
identifier	code1Ptr	existing spelling retained; current-function and linguistic review incomplete
identifier	code1ptr	existing spelling retained; current-function and linguistic review incomplete
identifier	code2Ptr	existing spelling retained; current-function and linguistic review incomplete
identifier	code3Ptr	existing spelling retained; current-function and linguistic review incomplete
identifier	codeSegment	existing spelling retained; current-function and linguistic review incomplete
identifier	colorIndex	existing spelling retained; current-function and linguistic review incomplete
identifier	colordepth	existing spelling retained; current-function and linguistic review incomplete
identifier	command	existing spelling retained; current-function and linguistic review incomplete
identifier	commandPort	existing spelling retained; current-function and linguistic review incomplete
identifier	commandport	existing spelling retained; current-function and linguistic review incomplete
identifier	common	existing spelling retained; current-function and linguistic review incomplete
identifier	connected	existing spelling retained; current-function and linguistic review incomplete
identifier	console	existing spelling retained; current-function and linguistic review incomplete
identifier	controlPort	existing spelling retained; current-function and linguistic review incomplete
identifier	copyExecVector	existing spelling retained; current-function and linguistic review incomplete
identifier	copyLength	existing spelling retained; current-function and linguistic review incomplete
identifier	copyPageDir	existing spelling retained; current-function and linguistic review incomplete
identifier	copyPath	existing spelling retained; current-function and linguistic review incomplete
identifier	copySocketName	existing spelling retained; current-function and linguistic review incomplete
identifier	copyUtsField	existing spelling retained; current-function and linguistic review incomplete
identifier	count	existing spelling retained; current-function and linguistic review incomplete
identifier	count2	existing spelling retained; current-function and linguistic review incomplete
identifier	cowFrameManager	existing spelling retained; current-function and linguistic review incomplete
identifier	cpu	existing spelling retained; current-function and linguistic review incomplete
identifier	cpustate	existing spelling retained; current-function and linguistic review incomplete
identifier	cr0	existing spelling retained; current-function and linguistic review incomplete
identifier	cr3	existing spelling retained; current-function and linguistic review incomplete
identifier	cr4	existing spelling retained; current-function and linguistic review incomplete
identifier	crtcDataPort	existing spelling retained; current-function and linguistic review incomplete
identifier	crtcIndexPort	existing spelling retained; current-function and linguistic review incomplete
identifier	cs	existing spelling retained; current-function and linguistic review incomplete
identifier	currentRecvBuffer	existing spelling retained; current-function and linguistic review incomplete
identifier	currentSendBuffer	existing spelling retained; current-function and linguistic review incomplete
identifier	currentTask	existing spelling retained; current-function and linguistic review incomplete
identifier	currentThread	existing spelling retained; current-function and linguistic review incomplete
identifier	currentThreadIndex	existing spelling retained; current-function and linguistic review incomplete
identifier	cursorHeight	existing spelling retained; current-function and linguistic review incomplete
identifier	cursorStart	existing spelling retained; current-function and linguistic review incomplete
identifier	d_tag	existing spelling retained; current-function and linguistic review incomplete
identifier	d_val_ptr	existing spelling retained; current-function and linguistic review incomplete
identifier	data	existing spelling retained; current-function and linguistic review incomplete
identifier	dataBuf	existing spelling retained; current-function and linguistic review incomplete
identifier	dataBytes	existing spelling retained; current-function and linguistic review incomplete
identifier	dataPointer	existing spelling retained; current-function and linguistic review incomplete
identifier	dataPort	existing spelling retained; current-function and linguistic review incomplete
identifier	dataStart	existing spelling retained; current-function and linguistic review incomplete
identifier	databuffer	existing spelling retained; current-function and linguistic review incomplete
identifier	dataport	existing spelling retained; current-function and linguistic review incomplete
identifier	defaultKeyboardEventHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	desc	existing spelling retained; current-function and linguistic review incomplete
identifier	description	existing spelling retained; current-function and linguistic review incomplete
identifier	destination	existing spelling retained; current-function and linguistic review incomplete
identifier	destinationAddress	existing spelling retained; current-function and linguistic review incomplete
identifier	destinationLength	existing spelling retained; current-function and linguistic review incomplete
identifier	dev	existing spelling retained; current-function and linguistic review incomplete
identifier	device	existing spelling retained; current-function and linguistic review incomplete
identifier	deviceDescriptor	existing spelling retained; current-function and linguistic review incomplete
identifier	devicePort	existing spelling retained; current-function and linguistic review incomplete
identifier	diff	existing spelling retained; current-function and linguistic review incomplete
identifier	digits	existing spelling retained; current-function and linguistic review incomplete
identifier	dirent	existing spelling retained; current-function and linguistic review incomplete
identifier	direntBytes	existing spelling retained; current-function and linguistic review incomplete
identifier	direntPtr	existing spelling retained; current-function and linguistic review incomplete
identifier	discardProcess	existing spelling retained; current-function and linguistic review incomplete
identifier	dispatchInterrupt	existing spelling retained; current-function and linguistic review incomplete
